#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.44%,172.41,-0.59,(-0.34%)
2,Microsoft,MSFT,6.71%,510.05,-1.65,(-0.32%)
3,Apple Inc.,AAPL,5.58%,211.18,1.16,(0.55%)
4,Amazon,AMZN,4.25%,226.13,2.25,(1.01%)
5,Meta Platforms,META,3.13%,704.28,2.87,(0.41%)
6,Broadcom,AVGO,2.36%,283.34,-3.11,(-1.09%)
7,Alphabet Inc. (Class A),GOOGL,2.04%,185.06,1.48,(0.81%)
8,Alphabet Inc. (Class C),GOOG,1.94%,185.94,1.24,(0.67%)
9,Tesla Inc.,TSLA,1.88%,329.65,10.24,(3.21%)
10,Berkshire Hathaway,BRK.B,1.81%,473.80,0.40,(0.08%)
11,JPMorgan Chase,JPM,1.42%,291.27,1.37,(0.47%)
12,Walmart,WMT,1.34%,95.05,-0.04,(-0.04%)
13,Lilly (Eli),LLY,1.23%,771.71,10.21,(1.34%)
14,Oracle Corporation,ORCL,1.22%,245.45,-3.30,(-1.33%)
15,Visa Inc.,V,1.21%,349.05,-0.76,(-0.22%)
16,Netflix,NFLX,0.91%,1209.24,-64.93,(-5.10%)
17,Mastercard,MA,0.89%,552.66,-2.95,(-0.53%)
18,ExxonMobil,XOM,0.82%,107.77,-3.89,(-3.48%)
19,Costco,COST,0.75%,950.95,-2.96,(-0.31%)
20,Johnson & Johnson,JNJ,0.70%,163.70,0.72,(0.44%)
21,Procter & Gamble,PG,0.64%,155.10,-0.52,(-0.33%)
22,Palantir Technologies,PLTR,0.64%,153.52,-0.47,(-0.31%)
23,Home Depot (The),HD,0.63%,359.40,0.36,(0.10%)
24,Bank of America,BAC,0.62%,47.32,0.30,(0.64%)
25,AbbVie,ABBV,0.59%,189.26,-2.14,(-1.12%)
26,Coca-Cola Company (The),KO,0.53%,69.85,-0.74,(-1.05%)
27,GE Aerospace,GE,0.49%,263.27,2.99,(1.15%)
28,Philip Morris International,PM,0.49%,178.73,-0.44,(-0.25%)
29,Cisco,CSCO,0.48%,68.05,-0.25,(-0.37%)
30,IBM,IBM,0.47%,285.87,3.87,(1.37%)
31,Chevron Corporation,CVX,0.46%,150.04,-1.34,(-0.89%)
32,Wells Fargo,WFC,0.46%,80.64,0.93,(1.17%)
33,T-Mobile US,TMUS,0.46%,227.21,0.18,(0.08%)
34,UnitedHealth Group,UNH,0.45%,282.65,-5.42,(-1.88%)
35,Advanced Micro Devices,AMD,0.45%,156.99,-3.42,(-2.13%)
36,Salesforce,CRM,0.44%,262.38,2.50,(0.96%)
37,Morgan Stanley,MS,0.40%,140.83,-0.07,(-0.05%)
38,Linde plc,LIN,0.39%,465.01,3.72,(0.81%)
39,Walt Disney Company (The),DIS,0.39%,121.42,-0.79,(-0.65%)
